YEAR,Intensification Rate,9-year average Int Rate
1951,2.1465835986111688,
1952,3.449305958107021,
1953,2.7093894471669233,
1954,4.60472192409859,
1955,3.467085568686074,3.229653268152509
1956,2.0089510162721416,3.292497672484226
1957,2.993342821377637,3.286699596188677
1958,3.366307206948607,3.3806661728255474
1959,4.321191872104419,3.198524385609809
1960,2.7121832375966237,3.1886290357351146
1961,3.397123271447082,3.4168588638214876
1962,3.5550886368987538,3.381843105688654
1963,2.965445839156945,3.347759728357863
1964,3.3780274198138276,3.21538871325143
1965,4.0630194690494985,3.149988237849693
1966,2.6782009981821364,3.0937585517500685
1967,3.0595568109714844,3.0477652440865057
1968,3.1298527361465194,3.0217355065676625
1969,2.1235789589809917,2.9922847756818403
1970,2.891056096550462,2.7342043597022427
1971,3.1411488679266877,2.8165214656532873
1972,2.731178201487358,2.827976623555969
1973,3.1129708418414253,2.7599508537285597
1974,1.7402957252331264,2.72975822709304
1975,3.4190549517415394,2.7486803023822213
1976,3.1626532320956184,2.701648315384115
1977,2.517620807699834,2.698440084998852
1978,1.851845319261312,2.6458668849346307
1979,3.0613547741530938,2.7918547510485503
1980,2.7178609849437287,2.687404665969164
1981,2.702304128019994,2.5724568239578853
1982,2.6398120412634305,2.574399990881495
1983,3.0541865202584004,2.7045142038682646
1984,2.4790041860270646,2.772690372906989
1985,2.1281226539941067,2.8465863759722105
1986,2.535109310012324,2.8600790844706134
1987,3.022873236142234,2.920521468733652
1988,3.674940295501619,2.8412358411005965
1989,3.382925012530723,2.8514292363681766
1990,2.8237385045056165,2.9275329976866216
1991,3.183793499630772,2.9350618985039167
1992,2.3406158715609013,2.9563162858654666
1993,2.570744743435286,2.9104366731433537
1994,2.813056505860115,3.022194013673507
1995,2.6028694173679785,3.015249650741257
1996,3.2141627223961806,3.0482022983763497
1997,3.262023781002608,3.151471820101145
1998,4.3887410773021,3.219688892514656
1999,2.761239238115367,3.2712552178387075
2000,3.4803673283466026,3.391434402645164
2001,3.2700415670840592,3.3403563885527237
2002,3.184698395156885,3.4716807846449655
2003,3.277153433776573,3.3521699707108366
2004,3.684482080626084,3.5182435408061767
2005,2.7544605955642156,3.540452510005028
2006,4.443943345832786,3.4691000058337895
2007,3.3131437518949407,
2008,4.2559013689734275,
2009,3.6802480511362656,
2010,2.6278690295429152,
