month,year,mei
1,1951,-1.07
1,1952,0.419
1,1953,0.03
1,1954,-0.051
1,1955,-0.762
1,1956,-1.4369999999999998
1,1957,-0.941
1,1958,1.472
1,1959,0.5479999999999999
1,1960,-0.299
1,1961,-0.163
1,1962,-1.087
1,1963,-0.7390000000000001
1,1964,0.8740000000000001
1,1965,-0.557
1,1966,1.306
1,1967,-0.473
1,1968,-0.619
1,1969,0.664
1,1970,0.37200000000000005
1,1971,-1.2229999999999999
1,1972,-0.596
1,1973,1.726
1,1974,-1.939
1,1975,-0.5379999999999999
1,1976,-1.61
1,1977,0.521
1,1978,0.773
1,1979,0.6
1,1980,0.672
1,1981,-0.262
1,1982,-0.27
1,1983,2.6830000000000003
1,1984,-0.33
1,1985,-0.561
1,1986,-0.301
1,1987,1.25
1,1988,1.119
1,1989,-1.12
1,1990,0.237
1,1991,0.313
1,1992,1.743
1,1993,0.687
1,1994,0.353
1,1995,1.22
1,1996,-0.612
1,1997,-0.49
1,1998,2.4659999999999997
1,1999,-1.053
1,2000,-1.139
1,2001,-0.505
1,2002,0.009000000000000001
1,2003,1.218
1,2004,0.327
1,2005,0.32
1,2006,-0.43799999999999994
1,2007,0.985
1,2008,-1.02
1,2009,-0.726
1,2010,1.067
2,1951,-1.183
2,1952,0.11699999999999999
2,1953,0.377
2,1954,-0.048
2,1955,-0.6970000000000001
2,1956,-1.3030000000000002
2,1957,-0.37200000000000005
2,1958,1.439
2,1959,0.7959999999999999
2,1960,-0.27399999999999997
2,1961,-0.257
2,1962,-0.988
2,1963,-0.863
2,1964,0.46799999999999997
2,1965,-0.353
2,1966,1.17
2,1967,-0.919
2,1968,-0.7490000000000001
2,1969,0.833
2,1970,0.415
2,1971,-1.528
2,1972,-0.424
2,1973,1.5
2,1974,-1.7930000000000001
2,1975,-0.6
2,1976,-1.392
2,1977,0.273
2,1978,0.899
2,1979,0.36200000000000004
2,1980,0.585
2,1981,-0.151
2,1982,-0.13699999999999998
2,1983,2.91
2,1984,-0.529
2,1985,-0.595
2,1986,-0.195
2,1987,1.205
2,1988,0.706
2,1989,-1.262
2,1990,0.563
2,1991,0.314
2,1992,1.87
2,1993,0.9740000000000001
2,1994,0.182
2,1995,0.946
2,1996,-0.58
2,1997,-0.621
2,1998,2.761
2,1999,-1.14
2,2000,-1.21
2,2001,-0.6609999999999999
2,2002,-0.171
2,2003,0.935
2,2004,0.359
2,2005,0.81
2,2006,-0.424
2,2007,0.528
2,2008,-1.3880000000000001
2,2009,-0.7070000000000001
2,2010,1.52
3,1951,-1.204
3,1952,0.047
3,1953,0.257
3,1954,0.147
3,1955,-1.147
3,1956,-1.399
3,1957,0.10099999999999999
3,1958,1.32
3,1959,0.495
3,1960,-0.094
3,1961,-0.08800000000000001
3,1962,-0.7120000000000001
3,1963,-0.69
3,1964,-0.26899999999999996
3,1965,-0.278
3,1966,0.6809999999999999
3,1967,-1.0659999999999998
3,1968,-0.6409999999999999
3,1969,0.45299999999999996
3,1970,0.22
3,1971,-1.817
3,1972,-0.26899999999999996
3,1973,0.86
3,1974,-1.767
3,1975,-0.879
3,1976,-1.234
3,1977,0.139
3,1978,0.9359999999999999
3,1979,-0.01
3,1980,0.6890000000000001
3,1981,0.456
3,1982,0.10300000000000001
3,1983,3.012
3,1984,0.139
3,1985,-0.7090000000000001
3,1986,0.027999999999999997
3,1987,1.722
3,1988,0.491
3,1989,-1.054
3,1990,0.956
3,1991,0.402
3,1992,1.9909999999999999
3,1993,0.99
3,1994,0.157
3,1995,0.853
3,1996,-0.23800000000000002
3,1997,-0.252
3,1998,2.755
3,1999,-0.971
3,2000,-1.113
3,2001,-0.56
3,2002,-0.121
3,2003,0.833
3,2004,-0.035
3,2005,1.067
3,2006,-0.527
3,2007,0.12
3,2008,-1.579
3,2009,-0.723
3,2010,1.469
4,1951,-0.544
4,1952,0.198
4,1953,0.6679999999999999
4,1954,-0.634
4,1955,-1.662
4,1956,-1.248
4,1957,0.37200000000000005
4,1958,0.987
4,1959,0.192
4,1960,-0.005
4,1961,0.004
4,1962,-1.068
4,1963,-0.768
4,1964,-0.562
4,1965,0.063
4,1966,0.506
4,1967,-1.037
4,1968,-0.9590000000000001
4,1969,0.616
4,1970,0.0
4,1971,-1.87
4,1972,-0.171
4,1973,0.473
4,1974,-1.643
4,1975,-0.9590000000000001
4,1976,-1.18
4,1977,0.545
4,1978,0.191
4,1979,0.292
4,1980,0.927
4,1981,0.6709999999999999
4,1982,0.013000000000000001
4,1983,2.8080000000000003
4,1984,0.373
4,1985,-0.47200000000000003
4,1986,-0.099
4,1987,1.859
4,1988,0.387
4,1989,-0.763
4,1990,0.469
4,1991,0.45399999999999996
4,1992,2.258
4,1993,1.4169999999999998
4,1994,0.473
4,1995,0.469
4,1996,-0.386
4,1997,0.5429999999999999
4,1998,2.661
4,1999,-0.903
4,2000,-0.409
4,2001,-0.055
4,2002,0.414
4,2003,0.42100000000000004
4,2004,0.374
4,2005,0.637
4,2006,-0.575
4,2007,0.02
4,2008,-0.879
4,2009,-0.105
4,2010,0.99
5,1951,-0.36
5,1952,-0.309
5,1953,0.784
5,1954,-1.416
