month,year,nino3
1,1951,24.96
1,1952,25.96
1,1953,25.79
1,1954,25.63
1,1955,24.96
1,1956,24.82
1,1957,24.93
1,1958,26.91
1,1959,25.59
1,1960,25.41
1,1961,25.15
1,1962,25.25
1,1963,24.93
1,1964,26.01
1,1965,24.76
1,1966,26.59
1,1967,25.08
1,1968,24.37
1,1969,26.16
1,1970,26.19
1,1971,24.22
1,1972,24.99
1,1973,27.27
1,1974,24.1
1,1975,25.25
1,1976,23.94
1,1977,26.47
1,1978,25.87
1,1979,25.39
1,1980,26.18
1,1981,25.17
1,1982,26.0
1,1983,28.47
1,1984,25.31
1,1985,24.65
1,1986,24.92
1,1987,26.7
1,1988,26.51
1,1989,24.43
1,1990,25.49
1,1991,25.84
1,1992,26.98
1,1993,25.7
1,1994,25.96
1,1995,26.52
1,1996,25.03
1,1997,24.97
1,1998,28.67
1,1999,24.74
1,2000,24.23
1,2001,25.4
1,2002,25.25
1,2003,26.43
1,2004,26.2
1,2005,26.18
1,2006,25.03
1,2007,26.65
1,2008,24.55
1,2009,25.32
1,2010,26.64
2,1951,25.81
2,1952,26.49
2,1953,26.77
2,1954,26.35
2,1955,25.78
2,1956,25.93
2,1957,26.11
2,1958,27.36
2,1959,26.34
2,1960,26.02
2,1961,26.24
2,1962,26.03
2,1963,25.81
2,1964,26.34
2,1965,25.94
2,1966,26.82
2,1967,26.09
2,1968,24.93
2,1969,26.79
2,1970,26.56
2,1971,24.92
2,1972,25.93
2,1973,27.22
2,1974,25.23
2,1975,25.68
2,1976,25.32
2,1977,26.94
2,1978,26.45
2,1979,26.17
2,1980,26.57
2,1981,25.71
2,1982,26.51
2,1983,28.63
2,1984,26.46
2,1985,25.76
2,1986,26.02
2,1987,27.54
2,1988,26.6
2,1989,25.58
2,1990,26.52
2,1991,26.44
2,1992,27.57
2,1993,26.87
2,1994,26.46
2,1995,26.92
2,1996,25.85
2,1997,25.83
2,1998,28.82
2,1999,25.81
2,2000,25.51
2,2001,26.31
2,2002,26.19
2,2003,26.95
2,2004,26.84
2,2005,26.57
2,2006,26.38
2,2007,26.66
2,2008,25.51
2,2009,26.17
2,2010,27.32
3,1951,27.04
3,1952,27.29
3,1953,27.52
3,1954,26.82
3,1955,26.39
3,1956,26.8
3,1957,27.39
3,1958,27.68
3,1959,26.95
3,1960,26.91
3,1961,26.85
3,1962,26.57
3,1963,26.92
3,1964,26.73
3,1965,26.94
3,1966,27.21
3,1967,26.43
3,1968,25.85
3,1969,27.53
3,1970,26.94
3,1971,26.0
3,1972,26.94
3,1973,27.39
