month,year,nino4_temp,nino4_anom,TIME
1,1951,27.39,-0.96,1951-01-01
1,1952,28.37,0.03,1952-01-01
1,1953,28.22,-0.12,1953-01-01
1,1954,28.49,0.14,1954-01-01
1,1955,27.68,-0.67,1955-01-01
1,1956,27.04,-1.3,1956-01-01
1,1957,28.01,-0.33,1957-01-01
1,1958,29.13,0.78,1958-01-01
1,1959,28.62,0.28,1959-01-01
1,1960,27.66,-0.69,1960-01-01
1,1961,28.04,-0.31,1961-01-01
1,1962,27.75,-0.6,1962-01-01
1,1963,27.69,-0.66,1963-01-01
1,1964,28.57,0.22,1964-01-01
1,1965,27.58,-0.77,1965-01-01
1,1966,28.74,0.4,1966-01-01
1,1967,27.63,-0.72,1967-01-01
1,1968,27.92,-0.43,1968-01-01
1,1969,29.11,0.76,1969-01-01
1,1970,28.56,0.21,1970-01-01
1,1971,26.86,-1.49,1971-01-01
1,1972,27.81,-0.54,1972-01-01
1,1973,29.01,0.66,1973-01-01
1,1974,26.54,-1.8,1974-01-01
1,1975,27.75,-0.6,1975-01-01
1,1976,26.93,-1.42,1976-01-01
1,1977,28.29,-0.06,1977-01-01
1,1978,28.7,0.35,1978-01-01
1,1979,28.38,0.03,1979-01-01
1,1980,28.62,0.28,1980-01-01
1,1981,28.15,-0.19,1981-01-01
1,1982,28.29,-0.06,1982-01-01
1,1983,28.75,0.4,1983-01-01
1,1984,27.69,-0.66,1984-01-01
1,1985,27.83,-0.52,1985-01-01
1,1986,28.19,-0.15,1986-01-01
1,1987,28.66,0.31,1987-01-01
1,1988,29.0,0.65,1988-01-01
1,1989,26.81,-1.54,1989-01-01
1,1990,28.55,0.2,1990-01-01
1,1991,28.91,0.57,1991-01-01
1,1992,28.97,0.63,1992-01-01
1,1993,28.75,0.41,1993-01-01
1,1994,28.55,0.21,1994-01-01
1,1995,29.13,0.78,1995-01-01
1,1996,27.97,-0.38,1996-01-01
1,1997,28.41,0.06,1997-01-01
1,1998,28.98,0.64,1998-01-01
1,1999,26.88,-1.46,1999-01-01
1,2000,27.23,-1.11,2000-01-01
1,2001,27.54,-0.81,2001-01-01
1,2002,28.75,0.4,2002-01-01
1,2003,28.97,0.62,2003-01-01
1,2004,28.85,0.5,2004-01-01
1,2005,29.28,0.93,2005-01-01
1,2006,27.94,-0.41,2006-01-01
1,2007,29.04,0.69,2007-01-01
1,2008,27.28,-1.07,2008-01-01
1,2009,27.64,-0.7,2009-01-01
1,2010,29.39,1.05,2010-01-01
2,1951,27.17,-1.03,1951-02-01
2,1952,28.12,-0.09,1952-02-01
2,1953,28.02,-0.18,1953-02-01
2,1954,28.3,0.1,1954-02-01
2,1955,27.42,-0.78,1955-02-01
2,1956,27.06,-1.14,1956-02-01
2,1957,27.99,-0.21,1957-02-01
2,1958,29.19,0.98,1958-02-01
2,1959,28.4,0.2,1959-02-01
2,1960,27.5,-0.71,1960-02-01
2,1961,27.94,-0.26,1961-02-01
2,1962,27.69,-0.51,1962-02-01
2,1963,27.69,-0.51,1963-02-01
2,1964,28.3,0.09,1964-02-01
2,1965,27.72,-0.49,1965-02-01
2,1966,28.7,0.49,1966-02-01
2,1967,27.42,-0.79,1967-02-01
2,1968,27.8,-0.4,1968-02-01
2,1969,29.11,0.9,1969-02-01
2,1970,28.54,0.33,1970-02-01
2,1971,27.05,-1.16,1971-02-01
2,1972,27.99,-0.21,1972-02-01
2,1973,28.74,0.54,1973-02-01
2,1974,26.86,-1.34,1974-02-01
2,1975,27.83,-0.38,1975-02-01
2,1976,27.21,-1.0,1976-02-01
2,1977,28.13,-0.08,1977-02-01
2,1978,28.39,0.18,1978-02-01
2,1979,28.21,0.01,1979-02-01
2,1980,28.51,0.31,1980-02-01
2,1981,27.96,-0.25,1981-02-01
2,1982,28.14,-0.07,1982-02-01
2,1983,28.61,0.41,1983-02-01
2,1984,27.67,-0.53,1984-02-01
2,1985,27.61,-0.59,1985-02-01
2,1986,28.03,-0.17,1986-02-01
2,1987,28.72,0.52,1987-02-01
2,1988,28.68,0.47,1988-02-01
2,1989,26.9,-1.3,1989-02-01
2,1990,28.6,0.4,1990-02-01
2,1991,28.74,0.53,1991-02-01
2,1992,29.02,0.82,1992-02-01
2,1993,28.42,0.22,1993-02-01
2,1994,28.24,0.04,1994-02-01
2,1995,29.02,0.81,1995-02-01
2,1996,27.81,-0.39,1996-02-01
2,1997,28.45,0.25,1997-02-01
2,1998,28.86,0.66,1998-02-01
