month,year,oni
1,1951,-0.84
1,1952,0.46
1,1953,0.53
1,1954,0.68
1,1955,-0.55
1,1956,-0.92
1,1957,-0.27
1,1958,1.66
1,1959,0.59
1,1960,-0.11
1,1961,-0.03
1,1962,-0.18
1,1963,-0.35
1,1964,0.98
1,1965,-0.53
1,1966,1.25
1,1967,-0.37
1,1968,-0.7
1,1969,0.94
1,1970,0.58
1,1971,-1.32
1,1972,-0.69
1,1973,1.65
1,1974,-1.73
1,1975,-0.51
1,1976,-1.48
1,1977,0.71
1,1978,0.67
1,1979,-0.01
1,1980,0.57
1,1981,-0.19
1,1982,-0.02
1,1983,2.06
1,1984,-0.49
1,1985,-0.92
1,1986,-0.41
1,1987,1.14
1,1988,0.76
1,1989,-1.6
1,1990,0.11
1,1991,0.36
1,1992,1.58
1,1993,0.15
1,1994,0.12
1,1995,0.92
1,1996,-0.87
1,1997,-0.5
1,1998,2.11
1,1999,-1.44
1,2000,-1.58
1,2001,-0.65
1,2002,-0.17
1,2003,0.93
1,2004,0.31
1,2005,0.66
1,2006,-0.65
1,2007,0.72
1,2008,-1.35
1,2009,-0.74
1,2010,1.3
2,1951,-0.55
2,1952,0.37
2,1953,0.64
2,1954,0.42
2,1955,-0.55
2,1956,-0.56
2,1957,-0.02
2,1958,1.52
2,1959,0.53
2,1960,-0.15
2,1961,-0.04
2,1962,-0.21
2,1963,-0.16
2,1964,0.56
2,1965,-0.26
2,1966,1.04
2,1967,-0.46
2,1968,-0.82
2,1969,0.95
2,1970,0.44
2,1971,-1.32
2,1972,-0.36
2,1973,1.16
2,1974,-1.47
2,1975,-0.51
2,1976,-1.11
2,1977,0.62
2,1978,0.43
2,1979,0.07
2,1980,0.45
2,1981,-0.43
2,1982,0.09
2,1983,1.8
2,1984,-0.33
2,1985,-0.73
2,1986,-0.39
2,1987,1.19
2,1988,0.48
2,1989,-1.37
2,1990,0.16
2,1991,0.25
2,1992,1.51
2,1993,0.3
2,1994,0.11
2,1995,0.69
2,1996,-0.74
2,1997,-0.42
2,1998,1.8
2,1999,-1.22
2,2000,-1.39
2,2001,-0.49
2,2002,0.03
2,2003,0.69
2,2004,0.26
2,2005,0.63
2,2006,-0.55
2,2007,0.4
2,2008,-1.26
2,2009,-0.59
2,2010,1.16
3,1951,-0.2
3,1952,0.4
3,1953,0.67
3,1954,0.0
3,1955,-0.67
3,1956,-0.56
3,1957,0.29
3,1958,1.16
3,1959,0.42
3,1960,-0.09
3,1961,-0.08
3,1962,-0.23
3,1963,0.07
3,1964,0.1
3,1965,-0.07
3,1966,0.85
3,1967,-0.54
3,1968,-0.71
3,1969,0.87
3,1970,0.39
3,1971,-1.09
3,1972,0.01
3,1973,0.6
3,1974,-1.17
3,1975,-0.58
3,1976,-0.69
3,1977,0.37
3,1978,0.08
3,1979,0.21
