month,YEAR,PDO,TIME
1,1951,-1.54,1951-01-01
1,1952,-2.01,1952-01-01
1,1953,-0.57,1953-01-01
1,1954,-1.32,1954-01-01
1,1955,0.2,1955-01-01
1,1956,-2.48,1956-01-01
1,1957,-1.82,1957-01-01
1,1958,0.25,1958-01-01
1,1959,0.69,1959-01-01
1,1960,0.3,1960-01-01
1,1961,1.18,1961-01-01
1,1962,-1.29,1962-01-01
1,1963,-0.33,1963-01-01
1,1964,0.01,1964-01-01
1,1965,-1.24,1965-01-01
1,1966,-0.82,1966-01-01
1,1967,-0.2,1967-01-01
1,1968,-0.95,1968-01-01
1,1969,-1.26,1969-01-01
1,1970,0.61,1970-01-01
1,1971,-1.9,1971-01-01
1,1972,-1.99,1972-01-01
1,1973,-0.46,1973-01-01
1,1974,-1.22,1974-01-01
1,1975,-0.84,1975-01-01
1,1976,-1.14,1976-01-01
1,1977,1.65,1977-01-01
1,1978,0.34,1978-01-01
1,1979,-0.58,1979-01-01
1,1980,-0.11,1980-01-01
1,1981,0.59,1981-01-01
1,1982,0.34,1982-01-01
1,1983,0.56,1983-01-01
1,1984,1.5,1984-01-01
1,1985,1.27,1985-01-01
1,1986,1.12,1986-01-01
1,1987,1.88,1987-01-01
1,1988,0.93,1988-01-01
1,1989,-0.95,1989-01-01
1,1990,-0.3,1990-01-01
1,1991,-2.02,1991-01-01
1,1992,0.05,1992-01-01
1,1993,0.05,1993-01-01
1,1994,1.21,1994-01-01
1,1995,-0.49,1995-01-01
1,1996,0.59,1996-01-01
1,1997,0.23,1997-01-01
1,1998,0.83,1998-01-01
1,1999,-0.32,1999-01-01
1,2000,-2.0,2000-01-01
1,2001,0.6,2001-01-01
1,2002,0.27,2002-01-01
1,2003,2.09,2003-01-01
1,2004,0.43,2004-01-01
1,2005,0.44,2005-01-01
1,2006,1.03,2006-01-01
1,2007,0.01,2007-01-01
1,2008,-1.0,2008-01-01
1,2009,-1.4,2009-01-01
1,2010,0.83,2010-01-01
2,1951,-1.06,1951-02-01
2,1952,-0.46,1952-02-01
2,1953,-0.07,1953-02-01
2,1954,-1.61,1954-02-01
2,1955,-1.52,1955-02-01
2,1956,-2.74,1956-02-01
2,1957,-0.68,1957-02-01
2,1958,0.62,1958-02-01
2,1959,-0.43,1959-02-01
2,1960,0.52,1960-02-01
2,1961,0.43,1961-02-01
2,1962,-1.15,1962-02-01
2,1963,-0.16,1963-02-01
2,1964,-0.21,1964-02-01
2,1965,-1.16,1965-02-01
2,1966,-0.03,1966-02-01
2,1967,-0.18,1967-02-01
2,1968,-0.4,1968-02-01
2,1969,-0.95,1969-02-01
2,1970,0.43,1970-02-01
2,1971,-1.74,1971-02-01
2,1972,-1.83,1972-02-01
2,1973,-0.61,1973-02-01
2,1974,-1.65,1974-02-01
2,1975,-0.71,1975-02-01
2,1976,-1.85,1976-02-01
2,1977,1.11,1977-02-01
2,1978,1.45,1978-02-01
2,1979,-1.33,1979-02-01
2,1980,1.32,1980-02-01
2,1981,1.46,1981-02-01
2,1982,0.2,1982-02-01
2,1983,1.14,1983-02-01
2,1984,1.21,1984-02-01
2,1985,0.94,1985-02-01
2,1986,1.61,1986-02-01
2,1987,1.75,1987-02-01
2,1988,1.24,1988-02-01
2,1989,-1.02,1989-02-01
2,1990,-0.65,1990-02-01
2,1991,-1.19,1991-02-01
2,1992,0.31,1992-02-01
2,1993,0.19,1993-02-01
2,1994,0.59,1994-02-01
2,1995,0.46,1995-02-01
2,1996,0.75,1996-02-01
2,1997,0.28,1997-02-01
2,1998,1.56,1998-02-01
2,1999,-0.66,1999-02-01
2,2000,-0.83,2000-02-01
2,2001,0.29,2001-02-01
2,2002,-0.64,2002-02-01
2,2003,1.75,2003-02-01
2,2004,0.48,2004-02-01
2,2005,0.81,2005-02-01
2,2006,0.66,2006-02-01
2,2007,0.04,2007-02-01
2,2008,-0.77,2008-02-01
2,2009,-1.55,2009-02-01
2,2010,0.82,2010-02-01
3,1951,-1.9,1951-03-01
3,1952,-0.63,1952-03-01
3,1953,-1.12,1953-03-01
3,1954,-0.52,1954-03-01
3,1955,-1.26,1955-03-01
3,1956,-2.56,1956-03-01
3,1957,0.03,1957-03-01
3,1958,0.25,1958-03-01
3,1959,-0.95,1959-03-01
3,1960,-0.21,1960-03-01
3,1961,0.09,1961-03-01
3,1962,-1.42,1962-03-01
3,1963,-0.54,1963-03-01
3,1964,-0.87,1964-03-01
3,1965,0.04,1965-03-01
3,1966,-1.29,1966-03-01
3,1967,-1.2,1967-03-01
3,1968,-0.31,1968-03-01
3,1969,-0.5,1969-03-01
3,1970,1.33,1970-03-01
3,1971,-1.68,1971-03-01
3,1972,-2.09,1972-03-01
3,1973,-0.5,1973-03-01
3,1974,-0.9,1974-03-01
3,1975,-0.51,1975-03-01
3,1976,-0.96,1976-03-01
3,1977,0.72,1977-03-01
3,1978,1.34,1978-03-01
3,1979,0.3,1979-03-01
3,1980,1.09,1980-03-01
3,1981,0.99,1981-03-01
3,1982,0.19,1982-03-01
3,1983,2.11,1983-03-01
3,1984,1.77,1984-03-01
3,1985,0.57,1985-03-01
3,1986,2.18,1986-03-01
3,1987,2.1,1987-03-01
3,1988,1.42,1988-03-01
3,1989,-0.83,1989-03-01
3,1990,-0.62,1990-03-01
3,1991,-0.74,1991-03-01
3,1992,0.67,1992-03-01
3,1993,0.76,1993-03-01
3,1994,0.8,1994-03-01
3,1995,0.75,1995-03-01
3,1996,1.01,1996-03-01
3,1997,0.65,1997-03-01
3,1998,2.01,1998-03-01
3,1999,-0.33,1999-03-01
3,2000,0.29,2000-03-01
3,2001,0.45,2001-03-01
3,2002,-0.43,2002-03-01
3,2003,1.51,2003-03-01
3,2004,0.61,2004-03-01
3,2005,1.36,2005-03-01
3,2006,0.05,2006-03-01
3,2007,-0.36,2007-03-01
3,2008,-0.71,2008-03-01
3,2009,-1.59,2009-03-01
3,2010,0.44,2010-03-01
4,1951,-0.36,1951-04-01
4,1952,-1.05,1952-04-01
4,1953,0.05,1953-04-01
4,1954,-1.33,1954-04-01
4,1955,-1.97,1955-04-01
4,1956,-2.17,1956-04-01
4,1957,-0.58,1957-04-01
4,1958,1.06,1958-04-01
4,1959,-0.02,1959-04-01
4,1960,0.09,1960-04-01
4,1961,0.34,1961-04-01
4,1962,-0.8,1962-04-01
4,1963,-0.41,1963-04-01
4,1964,-1.03,1964-04-01
4,1965,0.62,1965-04-01
4,1966,0.06,1966-04-01
4,1967,-0.89,1967-04-01
4,1968,-1.03,1968-04-01
4,1969,-0.44,1969-04-01
4,1970,0.43,1970-04-01
4,1971,-1.59,1971-04-01
4,1972,-1.65,1972-04-01
4,1973,-0.69,1973-04-01
4,1974,-0.52,1974-04-01
4,1975,-1.3,1975-04-01
4,1976,-0.89,1976-04-01
4,1977,0.3,1977-04-01
4,1978,1.29,1978-04-01
4,1979,0.89,1979-04-01
4,1980,1.49,1980-04-01
4,1981,1.45,1981-04-01
4,1982,-0.19,1982-04-01
4,1983,1.87,1983-04-01
4,1984,1.52,1984-04-01
4,1985,0.19,1985-04-01
4,1986,1.55,1986-04-01
4,1987,2.16,1987-04-01
4,1988,0.94,1988-04-01
4,1989,-0.32,1989-04-01
4,1990,0.27,1990-04-01
4,1991,-1.01,1991-04-01
4,1992,0.75,1992-04-01
4,1993,1.21,1993-04-01
4,1994,1.05,1994-04-01
4,1995,0.83,1995-04-01
4,1996,1.46,1996-04-01
4,1997,1.05,1997-04-01
4,1998,1.27,1998-04-01
4,1999,-0.41,1999-04-01
4,2000,0.35,2000-04-01
4,2001,-0.31,2001-04-01
4,2002,-0.32,2002-04-01
4,2003,1.18,2003-04-01
4,2004,0.57,2004-04-01
4,2005,1.03,2005-04-01
4,2006,0.4,2006-04-01
4,2007,0.16,2007-04-01
4,2008,-1.52,2008-04-01
4,2009,-1.65,2009-04-01
4,2010,0.78,2010-04-01
5,1951,-0.25,1951-05-01
5,1952,-1.0,1952-05-01
5,1953,0.43,1953-05-01
5,1954,0.01,1954-05-01
5,1955,-1.21,1955-05-01
5,1956,-1.41,1956-05-01
5,1957,0.57,1957-05-01
5,1958,1.28,1958-05-01
5,1959,0.23,1959-05-01
5,1960,0.91,1960-05-01
5,1961,-0.06,1961-05-01
5,1962,-1.22,1962-05-01
5,1963,-0.65,1963-05-01
5,1964,-1.91,1964-05-01
5,1965,-0.66,1965-05-01
5,1966,-0.53,1966-05-01
5,1967,-1.24,1967-05-01
5,1968,-0.53,1968-05-01
5,1969,-0.2,1969-05-01
5,1970,-0.49,1970-05-01
5,1971,-1.55,1971-05-01
5,1972,-1.57,1972-05-01
5,1973,-0.76,1973-05-01
5,1974,-0.28,1974-05-01
5,1975,-1.02,1975-05-01
5,1976,-0.68,1976-05-01
5,1977,0.31,1977-05-01
5,1978,0.9,1978-05-01
5,1979,1.09,1979-05-01
5,1980,1.2,1980-05-01
5,1981,1.75,1981-05-01
5,1982,-0.58,1982-05-01
5,1983,1.8,1983-05-01
5,1984,1.3,1984-05-01
5,1985,0.0,1985-05-01
5,1986,1.16,1986-05-01
5,1987,1.85,1987-05-01
5,1988,1.2,1988-05-01
5,1989,0.47,1989-05-01
5,1990,0.44,1990-05-01
5,1991,-0.51,1991-05-01
5,1992,1.54,1992-05-01
5,1993,2.13,1993-05-01
5,1994,1.23,1994-05-01
5,1995,1.46,1995-05-01
5,1996,2.18,1996-05-01
5,1997,1.83,1997-05-01
5,1998,0.7,1998-05-01
5,1999,-0.68,1999-05-01
5,2000,-0.05,2000-05-01
5,2001,-0.3,2001-05-01
5,2002,-0.63,2002-05-01
5,2003,0.89,2003-05-01
5,2004,0.88,2004-05-01
5,2005,1.86,2005-05-01
5,2006,0.48,2006-05-01
5,2007,-0.1,2007-05-01
5,2008,-1.37,2008-05-01
5,2009,-0.88,2009-05-01
5,2010,0.62,2010-05-01
6,1951,-1.09,1951-06-01
6,1952,-1.43,1952-06-01
6,1953,0.29,1953-06-01
6,1954,0.97,1954-06-01
6,1955,-2.44,1955-06-01
6,1956,-1.7,1956-06-01
6,1957,1.76,1957-06-01
6,1958,1.33,1958-06-01
6,1959,0.44,1959-06-01
6,1960,0.64,1960-06-01
6,1961,-0.61,1961-06-01
6,1962,-1.62,1962-06-01
6,1963,-0.88,1963-06-01
6,1964,-0.32,1964-06-01
6,1965,-0.8,1965-06-01
6,1966,0.16,1966-06-01
6,1967,-1.16,1967-06-01
6,1968,-0.35,1968-06-01
6,1969,0.89,1969-06-01
6,1970,0.06,1970-06-01
6,1971,-1.55,1971-06-01
6,1972,-1.87,1972-06-01
6,1973,-0.97,1973-06-01
6,1974,-0.31,1974-06-01
6,1975,-1.16,1975-06-01
6,1976,-0.67,1976-06-01
6,1977,0.42,1977-06-01
6,1978,0.15,1978-06-01
6,1979,0.17,1979-06-01
6,1980,-0.22,1980-06-01
6,1981,1.69,1981-06-01
6,1982,-0.78,1982-06-01
6,1983,2.36,1983-06-01
6,1984,0.18,1984-06-01
6,1985,0.18,1985-06-01
6,1986,0.89,1986-06-01
6,1987,0.73,1987-06-01
6,1988,0.74,1988-06-01
6,1989,0.36,1989-06-01
6,1990,0.44,1990-06-01
6,1991,-1.47,1991-06-01
6,1992,1.26,1992-06-01
6,1993,2.34,1993-06-01
6,1994,0.46,1994-06-01
6,1995,1.27,1995-06-01
6,1996,1.1,1996-06-01
6,1997,2.76,1997-06-01
6,1998,0.4,1998-06-01
6,1999,-1.3,1999-06-01
6,2000,-0.44,2000-06-01
6,2001,-0.47,2001-06-01
6,2002,-0.35,2002-06-01
6,2003,0.68,2003-06-01
6,2004,0.04,2004-06-01
6,2005,1.17,2005-06-01
6,2006,1.04,2006-06-01
6,2007,0.09,2007-06-01
6,2008,-1.34,2008-06-01
6,2009,-0.31,2009-06-01
6,2010,-0.22,2010-06-01
7,1951,0.7,1951-07-01
7,1952,-1.25,1952-07-01
7,1953,0.74,1953-07-01
7,1954,0.43,1954-07-01
7,1955,-2.35,1955-07-01
7,1956,-1.03,1956-07-01
7,1957,0.72,1957-07-01
7,1958,0.89,1958-07-01
7,1959,-0.5,1959-07-01
7,1960,-0.27,1960-07-01
7,1961,-1.22,1961-07-01
7,1962,-1.46,1962-07-01
7,1963,-1.0,1963-07-01
7,1964,-0.51,1964-07-01
7,1965,-0.47,1965-07-01
