year,sst
1951,28.190645931859
1952,28.30590758995635
1953,28.356191189308475
1954,28.29815340946683
1955,28.125965221141414
1956,27.975858513255755
1957,28.091229365123965
1958,28.10331971341678
1959,28.252246874780838
1960,28.208695859443853
1961,28.10391261196395
1962,28.09631874050874
1963,28.15293775470599
1964,28.25067861874898
1965,28.08116819154279
1966,28.388562092613075
1967,28.10073793031336
1968,28.041348963895143
1969,28.539089397363227
1970,28.55737745406505
1971,28.26802805704153
1972,28.03220930655151
1973,28.53766310053466
1974,28.287331049358297
1975,28.31695432650041
1976,28.152191753956036
1977,28.305132587427693
1978,28.24621998197664
1979,28.29271709175937
1980,28.519513375067774
1981,28.452133351225196
1982,28.15748239726555
1983,28.666127195203206
1984,28.43271771162183
1985,28.323862840166587
1986,28.31712067288758
1987,28.739326515818032
1988,28.905084852926777
1989,28.41541191555943
1990,28.37417749466935
1991,28.410977189133806
1992,28.211216356696152
1993,28.500221981911803
1994,28.39142344766839
1995,28.778833811199117
1996,28.59480927888617
1997,28.481580468697274
1998,29.165490711930648
1999,28.817151091609222
2000,28.708672166193725
2001,28.770444747232162
2002,28.651162673464313
2003,28.841666984041208
2004,28.503228860818922
2005,28.654070784405963
2006,28.620600694563333
2007,28.81186167011416
2008,28.89403088435248
2009,28.597697334883986
2010,28.915212015472452
