year,shear
1951,6.823190702455694
1952,8.836337385623612
1953,9.524045496329228
1954,9.927756195254984
1955,7.4110471484213845
1956,8.601240423037167
1957,8.278430023475712
1958,7.058995645002375
1959,9.165595556786537
1960,8.419629633826677
1961,11.058430927997136
1962,7.83384050146033
1963,8.564421518851745
1964,9.098365216761769
1965,8.946488854930656
1966,9.900158605620666
1967,11.717814239992208
1968,10.673663959232046
1969,7.920637553788467
1970,8.58432801774322
1971,7.792796396395237
1972,8.917989615940472
1973,7.729562527132413
1974,8.484785786169262
1975,7.81180608741441
1976,8.66385719672974
1977,10.951045010623615
1978,8.776445269729651
1979,8.816876687656384
1980,7.828668845900109
1981,9.637159905175626
1982,10.069137710062847
1983,7.422137932063084
1984,8.200440392688574
1985,8.997116341552527
1986,9.32047227004949
1987,7.508924510347367
1988,7.8807812795658
1989,8.776117972803343
1990,9.21949641622206
1991,10.098083305036072
1992,9.057702337518524
1993,8.456395039569932
1994,9.282462826342133
1995,6.959502688407433
1996,7.645395548284658
1997,8.198569531365147
1998,8.82745163359371
1999,10.188430727434378
2000,8.90280093941794
2001,10.082643564498955
2002,9.248356161282977
2003,8.451463551965533
2004,7.892041775548475
2005,7.433690071256872
2006,8.906966311981522
2007,8.228348018719759
2008,8.018500057397778
2009,9.627862424002247
2010,7.875769001046219
