CycNo,VMAX,YEAR,MONTH,DAY,HOUR,TIME,LAT,LON,REGION
3,46.0541822594,1951,5,5,18,1951-05-05 18:00:00,13.1,122.0,True
3,41.7160219465,1951,5,6,0,1951-05-06 00:00:00,13.6,121.2,True
3,37.4383549956,1951,5,6,6,1951-05-06 06:00:00,14.3,120.4,True
3,54.89790308,1951,5,8,6,1951-05-08 06:00:00,21.0,120.3,True
3,59.3975444759,1951,5,8,12,1951-05-08 12:00:00,22.0,121.5,True
3,63.9456737527,1951,5,8,18,1951-05-08 18:00:00,23.0,122.8,True
3,68.5401107021,1951,5,9,0,1951-05-09 00:00:00,24.1,125.3,True
3,68.5401107021,1951,5,9,6,1951-05-09 06:00:00,25.0,128.0,True
3,63.9456737527,1951,5,9,12,1951-05-09 12:00:00,26.0,131.0,True
3,63.9456737527,1951,5,9,18,1951-05-09 18:00:00,26.6,134.0,True
3,63.9456737527,1951,5,10,0,1951-05-10 00:00:00,27.0,136.0,True
3,54.89790308,1951,5,10,6,1951-05-10 06:00:00,27.6,138.5,True
3,54.89790308,1951,5,10,12,1951-05-10 12:00:00,28.2,141.1,True
3,54.89790308,1951,5,10,18,1951-05-10 18:00:00,28.7,143.8,True
3,54.89790308,1951,5,11,0,1951-05-11 00:00:00,27.8,146.5,True
3,46.0541822594,1951,5,11,6,1951-05-11 06:00:00,26.9,145.8,True
3,37.4383549956,1951,5,11,12,1951-05-11 12:00:00,27.0,145.2,True
3,29.0823395707,1951,5,11,18,1951-05-11 18:00:00,27.2,144.5,True
3,25.015184859,1951,5,12,0,1951-05-12 00:00:00,27.8,143.9,True
3,25.015184859,1951,5,12,6,1951-05-12 06:00:00,28.4,143.0,True
3,21.0315923059,1951,5,12,12,1951-05-12 12:00:00,29.0,142.3,True
3,21.0315923059,1951,5,12,18,1951-05-12 18:00:00,30.0,142.0,True
5,33.2254405055,1951,6,27,12,1951-06-27 12:00:00,13.3,129.8,True
5,37.4383549956,1951,6,27,18,1951-06-27 18:00:00,14.3,128.6,True
5,37.4383549956,1951,6,28,0,1951-06-28 00:00:00,15.7,127.8,True
5,41.7160219465,1951,6,28,6,1951-06-28 06:00:00,16.5,127.4,True
5,46.0541822594,1951,6,28,12,1951-06-28 12:00:00,17.2,127.8,True
5,50.4491943148,1951,6,28,18,1951-06-28 18:00:00,18.0,127.1,True
5,54.89790308,1951,6,29,0,1951-06-29 00:00:00,18.8,127.0,True
5,59.3975444759,1951,6,29,6,1951-06-29 06:00:00,19.5,127.0,True
5,59.3975444759,1951,6,29,12,1951-06-29 12:00:00,21.1,127.2,True
5,59.3975444759,1951,6,29,18,1951-06-29 18:00:00,22.7,127.8,True
5,59.3975444759,1951,6,30,0,1951-06-30 00:00:00,24.0,128.9,True
5,59.3975444759,1951,6,30,6,1951-06-30 06:00:00,25.6,129.9,True
5,63.9456737527,1951,6,30,12,1951-06-30 12:00:00,27.0,130.2,True
5,68.5401107021,1951,6,30,18,1951-06-30 18:00:00,28.5,130.5,True
5,82.5825974371,1951,7,1,0,1951-07-01 00:00:00,30.0,131.0,True
6,77.8602623192,1951,7,27,12,1951-07-27 12:00:00,13.2,134.0,True
6,82.5825974371,1951,7,27,18,1951-07-27 18:00:00,13.6,132.8,True
6,82.5825974371,1951,7,28,0,1951-07-28 00:00:00,14.0,131.2,True
6,92.1444164786,1951,7,28,6,1951-07-28 06:00:00,14.4,129.8,True
6,96.9813072346,1951,7,28,12,1951-07-28 12:00:00,15.1,128.5,True
6,96.9813072346,1951,7,28,18,1951-07-28 18:00:00,15.6,127.3,True
6,101.853953839,1951,7,29,0,1951-07-29 00:00:00,15.7,126.3,True
6,101.853953839,1951,7,29,6,1951-07-29 06:00:00,15.9,125.3,True
6,92.1444164786,1951,7,29,12,1951-07-29 12:00:00,16.2,124.3,True
6,92.1444164786,1951,7,29,18,1951-07-29 18:00:00,16.5,123.2,True
6,82.5825974371,1951,7,30,0,1951-07-30 00:00:00,17.2,122.3,True
6,82.5825974371,1951,7,30,6,1951-07-30 06:00:00,17.8,121.8,True
6,73.1788969782,1951,7,30,12,1951-07-30 12:00:00,18.2,121.3,True
6,63.9456737527,1951,7,30,18,1951-07-30 18:00:00,18.5,120.4,True
7,50.4491943148,1951,8,11,6,1951-08-11 06:00:00,13.0,145.0,True
7,50.4491943148,1951,8,11,12,1951-08-11 12:00:00,13.3,144.2,True
7,54.89790308,1951,8,11,18,1951-08-11 18:00:00,13.6,143.3,True
7,59.3975444759,1951,8,12,0,1951-08-12 00:00:00,13.6,142.2,True
7,63.9456737527,1951,8,12,6,1951-08-12 06:00:00,13.5,141.7,True
7,63.9456737527,1951,8,12,12,1951-08-12 12:00:00,13.4,141.1,True
7,68.5401107021,1951,8,12,18,1951-08-12 18:00:00,13.4,140.5,True
7,73.1788969782,1951,8,13,0,1951-08-13 00:00:00,13.4,140.1,True
7,73.1788969782,1951,8,13,6,1951-08-13 06:00:00,13.8,139.4,True
7,77.8602623192,1951,8,13,12,1951-08-13 12:00:00,14.3,139.0,True
7,77.8602623192,1951,8,13,18,1951-08-13 18:00:00,15.2,138.8,True
7,82.5825974371,1951,8,14,0,1951-08-14 00:00:00,16.0,138.5,True
7,82.5825974371,1951,8,14,6,1951-08-14 06:00:00,17.0,138.1,True
