YEAR,Duration,TIME
1951,1.35,1951-01-01
1952,1.3,1952-01-01
1953,2.41666666667,1953-01-01
1954,0.888888888889,1954-01-01
1955,1.75,1955-01-01
1956,2.025,1956-01-01
1957,1.70833333333,1957-01-01
1958,2.2,1958-01-01
1959,1.63461538462,1959-01-01
1960,1.15909090909,1960-01-01
1961,1.75,1961-01-01
1962,1.38636363636,1962-01-01
1963,1.77272727273,1963-01-01
1964,1.92857142857,1964-01-01
1965,1.46428571429,1965-01-01
1966,1.46875,1966-01-01
1967,1.2,1967-01-01
1968,1.625,1968-01-01
1969,2.09375,1969-01-01
1970,2.15,1970-01-01
1971,1.42647058824,1971-01-01
1972,2.28571428571,1972-01-01
1973,1.375,1973-01-01
1974,1.6875,1974-01-01
1975,0.958333333333,1975-01-01
1976,2.475,1976-01-01
1977,1.55,1977-01-01
1978,1.70454545455,1978-01-01
1979,1.66071428571,1979-01-01
1980,1.97727272727,1980-01-01
1981,1.45833333333,1981-01-01
1982,1.94117647059,1982-01-01
1983,2.03125,1983-01-01
1984,2.0,1984-01-01
1985,1.85714285714,1985-01-01
1986,2.609375,1986-01-01
1987,1.92857142857,1987-01-01
1988,1.225,1988-01-01
1989,1.48611111111,1989-01-01
1990,1.6875,1990-01-01
1991,1.72058823529,1991-01-01
1992,2.16176470588,1992-01-01
1993,1.53125,1993-01-01
1994,2.21875,1994-01-01
1995,1.77272727273,1995-01-01
1996,1.85294117647,1996-01-01
1997,2.71666666667,1997-01-01
1998,1.5,1998-01-01
1999,1.25,1999-01-01
2000,1.84615384615,2000-01-01
2001,1.7,2001-01-01
2002,2.41071428571,2002-01-01
2003,1.89285714286,2003-01-01
2004,2.06944444444,2004-01-01
2005,1.83928571429,2005-01-01
2006,1.73076923077,2006-01-01
2007,1.55769230769,2007-01-01
2008,1.18181818182,2008-01-01
2009,1.16666666667,2009-01-01
2010,1.92857142857,2010-01-01
